"id_code","start_time","end_time","duration","Handedness","Gender","Vision","Availability","Dutch","English","Last digit","Leeftijd"
"37570","1 October 2019 22:26","1 October 2019 22:28","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","S [Actief spreken / active speaking]","S [Actief spreken / active speaking]","7","<20"
"37573","1 October 2019 22:29","1 October 2019 22:30","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37576","1 October 2019 22:33","1 October 2019 22:34","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","4","<20"
"37585","20 October 2019 19:26","20 October 2019 19:30","4","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","2","<20"
"37600","2 October 2019 09:02","2 October 2019 09:03","1","R (rechts / right)","V [Vrouwelijk / Female]","L [gecorrigeerd tot normaal zicht met lenzen / corrected to normal vision with lenses]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
"37603","2 October 2019 09:32","2 October 2019 09:34","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","W [Tijdens het weekend wel, tijdens vakanties niet beschikbaar / available during weekends but not holidays]","S [Actief spreken / active speaking]","S [Actief spreken / active speaking]","3","<20"
"37606","2 October 2019 10:10","2 October 2019 10:12","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","1","<20"
"37609","2 October 2019 10:37","2 October 2019 10:38","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","B [Begrijpen maar niet spreken / understanding but not speaking]","2","<20"
"37615","2 October 2019 11:19","2 October 2019 11:20","1","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
"37618","2 October 2019 11:41","2 October 2019 11:44","3","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","W [Tijdens het weekend wel, tijdens vakanties niet beschikbaar / available during weekends but not holidays]","M [Moedertaal]","S [Actief spreken / active speaking]","7","<20"
"37624","2 October 2019 12:02","2 October 2019 12:03","1","L (links / left)","M [Mannelijk / Male]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37636","2 October 2019 12:31","2 October 2019 12:33","2","R (rechts / right)","M [Mannelijk / Male]","L [gecorrigeerd tot normaal zicht met lenzen / corrected to normal vision with lenses]","V [Tijdens vakanties wel beschikbaar, maar niet in het weekend / available during holidays but not weekends]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
"37642","2 October 2019 13:13","2 October 2019 13:14","1","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37660","2 October 2019 16:52","2 October 2019 16:54","2","L (links / left)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","V [Tijdens vakanties wel beschikbaar, maar niet in het weekend / available during holidays but not weekends]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
"37663","2 October 2019 16:56","2 October 2019 16:57","1","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","B [Begrijpen maar niet spreken / understanding but not speaking]","6","<20"
"37666","2 October 2019 19:56","2 October 2019 19:58","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","B [Begrijpen maar niet spreken / understanding but not speaking]","3","<20"
"37669","2 October 2019 17:12","2 October 2019 17:13","1","R (rechts / right)","M [Mannelijk / Male]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","S [Actief spreken / active speaking]","B [Begrijpen maar niet spreken / understanding but not speaking]","1","20-29"
"37675","2 October 2019 18:22","2 October 2019 18:23","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","1","<20"
"37678","2 October 2019 19:38","2 October 2019 19:42","4","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","W [Tijdens het weekend wel, tijdens vakanties niet beschikbaar / available during weekends but not holidays]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37681","2 October 2019 19:53","2 October 2019 19:56","3","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","[Decline to Answer]","M [Moedertaal]","M [Mother tongue]","8","<20"
"37684","2 October 2019 21:10","2 October 2019 21:12","2","R (rechts / right)","M [Mannelijk / Male]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","W [Tijdens het weekend wel, tijdens vakanties niet beschikbaar / available during weekends but not holidays]","S [Actief spreken / active speaking]","S [Actief spreken / active speaking]","8","<20"
"37687","2 October 2019 21:19","2 October 2019 21:21","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","9","<20"
"37690","2 October 2019 21:47","2 October 2019 21:48","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","W [Tijdens het weekend wel, tijdens vakanties niet beschikbaar / available during weekends but not holidays]","M [Moedertaal]","S [Actief spreken / active speaking]","8","<20"
"37693","2 October 2019 22:07","2 October 2019 22:09","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37708","3 October 2019 15:50","3 October 2019 15:51","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","S [Actief spreken / active speaking]","S [Actief spreken / active speaking]","0","<20"
"37720","3 October 2019 22:16","3 October 2019 22:17","1","L (links / left)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","5","<20"
"37723","5 October 2019 20:59","5 October 2019 21:08","9","R (rechts / right)","V [Vrouwelijk / Female]","[Decline to Answer]","W [Tijdens het weekend wel, tijdens vakanties niet beschikbaar / available during weekends but not holidays]","M [Moedertaal]","S [Actief spreken / active speaking]","1","<20"
"37783","8 October 2019 11:19","8 October 2019 11:22","3","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","V [Tijdens vakanties wel beschikbaar, maar niet in het weekend / available during holidays but not weekends]","M [Moedertaal]","S [Actief spreken / active speaking]","9","<20"
"37795","8 October 2019 14:05","8 October 2019 14:07","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37801","8 October 2019 18:25","8 October 2019 18:27","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","7","<20"
"37840","9 October 2019 16:32","9 October 2019 16:34","2","R (rechts / right)","V [Vrouwelijk / Female]","L [gecorrigeerd tot normaal zicht met lenzen / corrected to normal vision with lenses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","7","<20"
"37855","9 October 2019 16:33","9 October 2019 16:34","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","7","<20"
"37864","10 October 2019 14:49","10 October 2019 14:52","3","R (rechts / right)","V [Vrouwelijk / Female]","L [gecorrigeerd tot normaal zicht met lenzen / corrected to normal vision with lenses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","4","<20"
"37873","16 October 2019 14:09","16 October 2019 14:11","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37876","10 October 2019 09:38","10 October 2019 09:42","4","L (links / left)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","W [Tijdens het weekend wel, tijdens vakanties niet beschikbaar / available during weekends but not holidays]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37882","9 October 2019 16:37","9 October 2019 16:39","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","2","<20"
"37888","10 October 2019 19:15","10 October 2019 19:16","1","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
"37894","9 October 2019 16:34","9 October 2019 16:35","1","R (rechts / right)","V [Vrouwelijk / Female]","L [gecorrigeerd tot normaal zicht met lenzen / corrected to normal vision with lenses]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","S [Actief spreken / active speaking]","S [Actief spreken / active speaking]","7","<20"
"37903","9 October 2019 16:42","9 October 2019 16:44","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","[Decline to Answer]","M [Moedertaal]","S [Actief spreken / active speaking]","9","<20"
"37906","9 October 2019 16:36","9 October 2019 16:38","2","R (rechts / right)","M [Mannelijk / Male]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","5","<20"
"37924","9 October 2019 16:34","9 October 2019 16:35","1","R (rechts / right)","V [Vrouwelijk / Female]","[Decline to Answer]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","[Decline to Answer]","<20"
"37927","21 October 2019 16:43","21 October 2019 16:45","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","[Decline to Answer]","M [Moedertaal]","S [Actief spreken / active speaking]","4","<20"
"37933","9 October 2019 16:45","9 October 2019 16:48","3","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","9","<20"
"37939","27 October 2019 18:42","27 October 2019 18:44","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37945","9 October 2019 16:44","9 October 2019 16:46","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","B [Begrijpen maar niet spreken / understanding but not speaking]","0","<20"
"37948","9 October 2019 16:54","9 October 2019 16:56","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","4","<20"
"37951","16 October 2019 17:34","16 October 2019 17:37","3","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","V [Tijdens vakanties wel beschikbaar, maar niet in het weekend / available during holidays but not weekends]","M [Moedertaal]","S [Actief spreken / active speaking]","8","<20"
"37954","12 November 2019 10:15","12 November 2019 10:16","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","9","<20"
"37960","10 October 2019 08:00","10 October 2019 08:03","3","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","0","<20"
"37966","9 October 2019 16:46","9 October 2019 16:48","2","L (links / left)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","9","<20"
"37987","13 October 2019 22:28","13 October 2019 22:29","1","R (rechts / right)","V [Vrouwelijk / Female]","S [niet-gecorrigeerd, suboptimaal zicht / non-corrected suboptimal vision]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","6","<20"
"37990","9 October 2019 16:35","9 October 2019 16:37","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","V [Tijdens vakanties wel beschikbaar, maar niet in het weekend / available during holidays but not weekends]","M [Moedertaal]","S [Actief spreken / active speaking]","8","<20"
"37993","9 October 2019 16:35","9 October 2019 16:36","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
"37999","14 October 2019 17:28","14 October 2019 17:31","3","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","V [Tijdens vakanties wel beschikbaar, maar niet in het weekend / available during holidays but not weekends]","M [Moedertaal]","S [Actief spreken / active speaking]","9","<20"
"38005","9 October 2019 16:38","9 October 2019 16:40","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","6","<20"
"38014","9 October 2019 16:36","9 October 2019 16:39","3","R (rechts / right)","M [Mannelijk / Male]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","B [Begrijpen maar niet spreken / understanding but not speaking]","2","<20"
"38020","9 October 2019 16:39","9 October 2019 16:42","3","L (links / left)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","5","<20"
"38026","9 October 2019 16:44","9 October 2019 16:45","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
"38032","9 October 2019 16:39","9 October 2019 16:40","1","R (rechts / right)","M [Mannelijk / Male]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","2","20-29"
"38044","14 October 2019 17:56","14 October 2019 17:57","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
"38047","9 October 2019 16:39","9 October 2019 16:40","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","4","<20"
"38050","2 November 2019 10:34","2 November 2019 10:35","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","V [Tijdens vakanties wel beschikbaar, maar niet in het weekend / available during holidays but not weekends]","M [Moedertaal]","S [Actief spreken / active speaking]","8","<20"
"38059","9 October 2019 16:42","9 October 2019 16:44","2","L (links / left)","M [Mannelijk / Male]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
"38065","9 October 2019 16:41","9 October 2019 16:42","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","W [Tijdens het weekend wel, tijdens vakanties niet beschikbaar / available during weekends but not holidays]","M [Moedertaal]","S [Actief spreken / active speaking]","5","<20"
"38071","9 October 2019 16:42","9 October 2019 16:45","3","R (rechts / right)","V [Vrouwelijk / Female]","S [niet-gecorrigeerd, suboptimaal zicht / non-corrected suboptimal vision]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","6","<20"
"38077","9 October 2019 16:45","9 October 2019 16:47","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","B [Begrijpen maar niet spreken / understanding but not speaking]","2","<20"
"38083","9 October 2019 16:54","9 October 2019 16:55","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","4","<20"
"38095","9 October 2019 16:45","9 October 2019 16:46","1","R (rechts / right)","M [Mannelijk / Male]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","2","<20"
"38104","9 October 2019 16:48","9 October 2019 16:50","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","8","<20"
"38110","9 October 2019 16:56","9 October 2019 17:00","4","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","B [Begrijpen maar niet spreken / understanding but not speaking]","0","<20"
"38113","9 October 2019 16:57","9 October 2019 17:00","3","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","6","<20"
"38116","9 October 2019 16:58","9 October 2019 16:59","1","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","S [Actief spreken / active speaking]","[Decline to Answer]","<20"
"38125","10 October 2019 19:59","10 October 2019 20:00","1","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","5","<20"
"38128","9 October 2019 16:57","9 October 2019 16:59","2","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","W [Tijdens het weekend wel, tijdens vakanties niet beschikbaar / available during weekends but not holidays]","M [Moedertaal]","S [Actief spreken / active speaking]","9","<20"
"38134","9 October 2019 16:57","9 October 2019 16:59","2","L (links / left)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","9","<20"
"38137","9 October 2019 18:59","9 October 2019 19:02","3","R (rechts / right)","V [Vrouwelijk / Female]","B [gecorrigeerd tot normaal zicht met bril / corrected to normal vision with glasses]","V [Tijdens vakanties wel beschikbaar, maar niet in het weekend / available during holidays but not weekends]","M [Moedertaal]","S [Actief spreken / active speaking]","4","<20"
"38140","9 October 2019 21:07","9 October 2019 21:09","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","N [Nee, ik ben enkel op collegedagen beschikbaar / no, I am only available during college days]","M [Moedertaal]","B [Begrijpen maar niet spreken / understanding but not speaking]","9","<20"
"38143","9 October 2019 21:32","9 October 2019 21:34","2","R (rechts / right)","V [Vrouwelijk / Female]","N [normaal, geen bril of contactlenzen nodig / normal, no need for glasses or contacts]","J [Ja, ik ben altijd beschikbaar / yes, I am always available]","M [Moedertaal]","S [Actief spreken / active speaking]","3","<20"
