"","image_file","category","subcategory","current_height","current_width","source","searched_label","resize_factor","H","FA","n_resp","memorability_wo_fa_correction","memorability_w_fa_correction"
"30","000000285089.jpg","animal","bear",480,640,"coco","bear",1,100,4,110,0.909090909090909,0.872727272727273
"31","000000289354.jpg","animal","bear",457,640,"coco","bear",1,82,11,98,0.836734693877551,0.724489795918367
"32","000000296283.jpg","animal","bear",388,500,"coco","bear",1,93,14,113,0.823008849557522,0.699115044247788
"33","000000303250.jpg","animal","bear",428,640,"coco","bear",1,89,5,95,0.936842105263158,0.884210526315789
"34","000000313412.jpg","animal","bear",427,640,"coco","bear",1,49,1,100,0.49,0.48
"35","000000321092.jpg","animal","bear",500,375,"coco","bear",1,82,3,102,0.803921568627451,0.774509803921569
"36","000000327159.jpg","animal","bear",427,640,"coco","bear",1,89,2,99,0.898989898989899,0.878787878787879
"37","000000338488.jpg","animal","bear",426,640,"coco","bear",1,78,11,98,0.795918367346939,0.683673469387755
"38","000000344075.jpg","animal","bear",427,640,"coco","bear",1,73,4,88,0.829545454545455,0.784090909090909
"39","000000352129.jpg","animal","bear",428,640,"coco","bear",1,90,6,96,0.9375,0.875
"40","000000354326.jpg","animal","bear",426,640,"coco","bear",1,66,0,89,0.741573033707865,0.741573033707865
"41","000000355276.jpg","animal","bear",428,640,"coco","bear",1,57,4,74,0.77027027027027,0.716216216216216
"42","000000357386.jpg","animal","bear",480,640,"coco","bear",1,71,2,93,0.763440860215054,0.741935483870968
"43","000000368309.jpg","animal","bear",425,640,"coco","bear",1,72,5,94,0.765957446808511,0.712765957446808
"44","000000396194.jpg","animal","bear",427,640,"coco","bear",1,95,6,122,0.778688524590164,0.729508196721312
"45","000000417577.jpg","animal","bear",427,640,"coco","bear",1,90,1,109,0.825688073394495,0.81651376146789
"46","000000419604.jpg","animal","bear",444,640,"coco","bear",1,98,7,116,0.844827586206897,0.78448275862069
"47","000000420544.jpg","animal","bear",480,640,"coco","bear",1,72,20,89,0.808988764044944,0.584269662921348
"48","000000421986.jpg","animal","bear",427,640,"coco","bear",1,71,4,86,0.825581395348837,0.779069767441861
"49","000000444087.jpg","animal","bear",480,640,"coco","bear",1,109,6,119,0.915966386554622,0.865546218487395
"50","000000446764.jpg","animal","bear",427,640,"coco","bear",1,77,2,112,0.6875,0.669642857142857
"51","000000452263.jpg","animal","bear",428,640,"coco","bear",1,63,7,88,0.715909090909091,0.636363636363636
"52","000000454832.jpg","animal","bear",428,640,"coco","bear",1,78,9,98,0.795918367346939,0.704081632653061
"53","000000454979.jpg","animal","bear",426,640,"coco","bear",1,85,4,108,0.787037037037037,0.75
"54","000000466024.jpg","animal","bear",428,640,"coco","bear",1,90,2,104,0.865384615384615,0.846153846153846
"55","000000473030.jpg","animal","bear",426,640,"coco","bear",1,85,4,112,0.758928571428571,0.723214285714286
"56","000000474246.jpg","animal","bear",454,640,"coco","bear",1,77,3,112,0.6875,0.660714285714286
"57","000000474543.jpg","animal","bear",373,640,"coco","bear",1,64,4,116,0.551724137931034,0.517241379310345
"58","000000486686.jpg","animal","bear",425,640,"coco","bear",1,71,3,99,0.717171717171717,0.686868686868687
"59","000000497042.jpg","animal","bear",459,640,"coco","bear",1,97,14,114,0.850877192982456,0.728070175438597
"60","000000504550.jpg","animal","bear",427,640,"coco","bear",1,77,4,100,0.77,0.73
"61","000000519089.jpg","animal","bear",480,640,"coco","bear",1,71,2,97,0.731958762886598,0.711340206185567
"62","000000528882.jpg","animal","bear",427,640,"coco","bear",1,80,6,100,0.8,0.74
"63","000000538957.jpg","animal","bear",427,640,"coco","bear",1,79,6,104,0.759615384615385,0.701923076923077
"64","000000544279.jpg","animal","bear",480,640,"coco","bear",1,69,3,86,0.802325581395349,0.767441860465116
"65","000000553162.jpg","animal","bear",425,640,"coco","bear",1,60,9,80,0.75,0.6375
"66","000000565077.jpg","animal","bear",480,640,"coco","bear",1,84,2,106,0.792452830188679,0.773584905660377
"67","000000571074.jpg","animal","bear",425,640,"coco","bear",1,74,2,103,0.718446601941748,0.699029126213592
"68","000000574152.jpg","animal","bear",426,640,"coco","bear",1,70,7,90,0.777777777777778,0.7
"69","n02132136_11173.jpg","animal","bear",289,500,"imagenet","brown bear, bruin, Ursus arctos",1,79,10,106,0.745283018867924,0.650943396226415
"70","n02132136_1152.jpg","animal","bear",500,375,"imagenet","brown bear, bruin, Ursus arctos",1,82,10,98,0.836734693877551,0.73469387755102
"71","n02132136_1156.jpg","animal","bear",333,500,"imagenet","brown bear, bruin, Ursus arctos",1,85,7,103,0.825242718446602,0.757281553398058
"72","n02132136_19256.jpg","animal","bear",333,500,"imagenet","brown bear, bruin, Ursus arctos",1,86,1,108,0.796296296296296,0.787037037037037
"73","n02132136_19488.jpg","animal","bear",375,500,"imagenet","brown bear, bruin, Ursus arctos",1,71,6,92,0.771739130434783,0.706521739130435
"74","n02132136_1954.jpg","animal","bear",333,500,"imagenet","brown bear, bruin, Ursus arctos",1,76,11,97,0.783505154639175,0.670103092783505
"75","n02132136_2279.jpg","animal","bear",333,500,"imagenet","brown bear, bruin, Ursus arctos",1,78,7,99,0.787878787878788,0.717171717171717
"76","n02132136_2313.jpg","animal","bear",375,500,"imagenet","brown bear, bruin, Ursus arctos",1,73,6,86,0.848837209302326,0.779069767441861
"77","n02132136_3066.jpg","animal","bear",333,500,"imagenet","brown bear, bruin, Ursus arctos",1,87,8,108,0.805555555555556,0.731481481481482
"78","n02132136_3328.jpg","animal","bear",477,500,"imagenet","brown bear, bruin, Ursus arctos",1,87,10,98,0.887755102040816,0.785714285714286
"79","n02132136_4277.jpg","animal","bear",300,354,"imagenet","brown bear, bruin, Ursus arctos",1,89,9,104,0.855769230769231,0.769230769230769
"80","n02132136_4426.jpg","animal","bear",500,375,"imagenet","brown bear, bruin, Ursus arctos",1,57,0,90,0.633333333333333,0.633333333333333
"81","n02132136_4685.jpg","animal","bear",375,500,"imagenet","brown bear, bruin, Ursus arctos",1,70,9,87,0.804597701149425,0.701149425287356
"82","n02132136_4740.jpg","animal","bear",314,500,"imagenet","brown bear, bruin, Ursus arctos",1,86,6,111,0.774774774774775,0.720720720720721
"83","n02132136_538.jpg","animal","bear",333,500,"imagenet","brown bear, bruin, Ursus arctos",1,90,23,104,0.865384615384615,0.644230769230769
"84","n02132136_686.jpg","animal","bear",375,500,"imagenet","brown bear, bruin, Ursus arctos",1,82,13,98,0.836734693877551,0.704081632653061
"85","n02132136_6967.jpg","animal","bear",333,500,"imagenet","brown bear, bruin, Ursus arctos",1,100,18,109,0.917431192660551,0.752293577981651
"86","n02132136_7468.jpg","animal","bear",375,500,"imagenet","brown bear, bruin, Ursus arctos",1,97,16,115,0.843478260869565,0.704347826086957
"87","n02132136_965.jpg","animal","bear",500,333,"imagenet","brown bear, bruin, Ursus arctos",1,90,3,100,0.9,0.87
"88","n02132580_13942.jpg","animal","bear",400,500,"imagenet","grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis",1,89,14,107,0.831775700934579,0.700934579439252
"89","n02132580_19931.jpg","animal","bear",375,500,"imagenet","grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis",1,75,5,86,0.872093023255814,0.813953488372093
"90","n02132580_21450.jpg","animal","bear",332,500,"imagenet","grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis",1,90,8,110,0.818181818181818,0.745454545454545
"91","n02132580_22386.jpg","animal","bear",500,500,"imagenet","grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis",1,62,0,82,0.75609756097561,0.75609756097561
"92","n02132580_23122.jpg","animal","bear",333,500,"imagenet","grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis",1,87,12,101,0.861386138613861,0.742574257425743
"93","n02132580_23336.jpg","animal","bear",332,500,"imagenet","grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis",1,81,12,105,0.771428571428571,0.657142857142857
"94","n02132580_23449.jpg","animal","bear",500,375,"imagenet","grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis",1,84,10,102,0.823529411764706,0.725490196078431
"95","n02132580_24520.jpg","animal","bear",500,481,"imagenet","grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis",1,78,4,87,0.896551724137931,0.850574712643678
"96","n02132580_5128.jpg","animal","bear",375,500,"imagenet","grizzly, grizzly bear, silvertip, silver-tip, Ursus horribilis, Ursus arctos horribilis",1,68,10,90,0.755555555555556,0.644444444444444
"97","n02133161_1066.jpg","animal","bear",375,500,"imagenet","American black bear, black bear, Ursus americanus, Euarctos americanus",1,66,4,108,0.611111111111111,0.574074074074074
"98","n02133161_10846.jpg","animal","bear",375,500,"imagenet","American black bear, black bear, Ursus americanus, Euarctos americanus",1,92,4,115,0.8,0.765217391304348
"99","n02133161_1148.jpg","animal","bear",333,500,"imagenet","American black bear, black bear, Ursus americanus, Euarctos americanus",1,84,9,108,0.777777777777778,0.694444444444444
"100","n02133161_1201.jpg","animal","bear",375,500,"imagenet","American black bear, black bear, Ursus americanus, Euarctos americanus",1,75,3,100,0.75,0.72
"101","000000036559.jpg","animal","cat",500,375,"coco","cat",1,81,7,94,0.861702127659574,0.787234042553192
"102","000000043655.jpg","animal","cat",383,640,"coco","cat",1,110,4,116,0.948275862068966,0.913793103448276
"103","000000044545.jpg","animal","cat",480,640,"coco","cat",1,73,4,89,0.820224719101124,0.775280898876405
"104","000000067164.jpg","animal","cat",288,352,"coco","cat",1,76,1,96,0.791666666666667,0.78125
"105","000000073260.jpg","animal","cat",427,640,"coco","cat",1,83,2,96,0.864583333333333,0.84375
"106","000000073467.jpg","animal","cat",311,500,"coco","cat",1,107,5,117,0.914529914529915,0.871794871794872
"107","000000074883.jpg","animal","cat",375,500,"coco","cat",1,89,1,104,0.855769230769231,0.846153846153846
"108","000000077417.jpg","animal","cat",376,500,"coco","cat",1,83,3,100,0.83,0.8
"109","000000094444.jpg","animal","cat",333,500,"coco","cat",1,81,4,105,0.771428571428571,0.733333333333333
"110","000000096517.jpg","animal","cat",375,500,"coco","cat",1,89,3,104,0.855769230769231,0.826923076923077
"111","000000098871.jpg","animal","cat",360,640,"coco","cat",1,81,5,96,0.84375,0.791666666666667
"112","000000111400.jpg","animal","cat",480,640,"coco","cat",1,94,1,107,0.878504672897196,0.869158878504673
"113","000000115642.jpg","animal","cat",346,500,"coco","cat",1,96,7,103,0.932038834951456,0.864077669902913
"114","000000117407.jpg","animal","cat",426,640,"coco","cat",1,76,4,105,0.723809523809524,0.685714285714286
"115","000000124462.jpg","animal","cat",426,640,"coco","cat",1,108,0,117,0.923076923076923,0.923076923076923
"116","000000127056.jpg","animal","cat",375,500,"coco","cat",1,81,6,97,0.835051546391753,0.77319587628866
"117","000000132752.jpg","animal","cat",480,640,"coco","cat",1,81,0,92,0.880434782608696,0.880434782608696
"118","000000140360.jpg","animal","cat",425,640,"coco","cat",1,78,0,95,0.821052631578947,0.821052631578947
"119","000000141376.jpg","animal","cat",480,640,"coco","cat",1,88,2,96,0.916666666666667,0.895833333333333
"120","000000142484.jpg","animal","cat",427,640,"coco","cat",1,106,4,117,0.905982905982906,0.871794871794872
"121","000000145476.jpg","animal","cat",500,375,"coco","cat",1,100,0,109,0.917431192660551,0.917431192660551
"122","000000150691.jpg","animal","cat",480,640,"coco","cat",1,106,3,112,0.946428571428571,0.919642857142857
"123","000000163715.jpg","animal","cat",480,640,"coco","cat",1,77,2,100,0.77,0.75
"124","000000207093.jpg","animal","cat",375,500,"coco","cat",1,104,1,115,0.904347826086957,0.895652173913044
"125","000000220292.jpg","animal","cat",333,500,"coco","cat",1,91,2,108,0.842592592592593,0.824074074074074
"126","000000223757.jpg","animal","cat",480,640,"coco","cat",1,88,1,108,0.814814814814815,0.805555555555556
"127","000000223942.jpg","animal","cat",480,640,"coco","cat",1,91,1,99,0.919191919191919,0.909090909090909
"128","000000224833.jpg","animal","cat",427,640,"coco","cat",1,82,1,114,0.719298245614035,0.710526315789474
"129","000000233169.jpg","animal","cat",500,375,"coco","cat",1,94,2,100,0.94,0.92
"130","000000233613.jpg","animal","cat",413,640,"coco","cat",1,83,0,90,0.922222222222222,0.922222222222222
"131","000000234475.jpg","animal","cat",480,640,"coco","cat",1,103,1,118,0.872881355932203,0.864406779661017
"132","000000250924.jpg","animal","cat",375,500,"coco","cat",1,75,1,99,0.757575757575758,0.747474747474748
"133","000000255420.jpg","animal","cat",487,500,"coco","cat",1,81,1,86,0.941860465116279,0.930232558139535
"134","000000262118.jpg","animal","cat",480,640,"coco","cat",1,81,0,93,0.870967741935484,0.870967741935484
"135","000000266627.jpg","animal","cat",480,640,"coco","cat",1,99,2,110,0.9,0.881818181818182
"136","000000268781.jpg","animal","cat",427,640,"coco","cat",1,97,1,110,0.881818181818182,0.872727272727273
"137","000000288560.jpg","animal","cat",346,500,"coco","cat",1,71,2,81,0.876543209876543,0.851851851851852
"138","000000288639.jpg","animal","cat",480,640,"coco","cat",1,91,6,98,0.928571428571429,0.86734693877551
"139","000000291603.jpg","animal","cat",376,500,"coco","cat",1,85,1,109,0.779816513761468,0.770642201834862
"140","000000292993.jpg","animal","cat",427,640,"coco","cat",1,79,3,89,0.887640449438202,0.853932584269663
"141","000000296244.jpg","animal","cat",480,640,"coco","cat",1,80,2,95,0.842105263157895,0.821052631578947
"142","000000301697.jpg","animal","cat",480,640,"coco","cat",1,91,7,102,0.892156862745098,0.823529411764706
"143","000000306173.jpg","animal","cat",429,640,"coco","cat",1,95,5,106,0.89622641509434,0.849056603773585
"144","000000311290.jpg","animal","cat",428,640,"coco","cat",1,94,2,103,0.912621359223301,0.893203883495146
"145","000000318722.jpg","animal","cat",375,500,"coco","cat",1,85,2,94,0.904255319148936,0.882978723404255
"146","000000318837.jpg","animal","cat",480,640,"coco","cat",1,88,4,106,0.830188679245283,0.792452830188679
"147","000000325298.jpg","animal","cat",480,640,"coco","cat",1,81,2,89,0.910112359550562,0.887640449438202
"148","000000329641.jpg","animal","cat",480,640,"coco","cat",1,93,3,105,0.885714285714286,0.857142857142857
"149","000000338091.jpg","animal","cat",375,500,"coco","cat",1,77,5,97,0.793814432989691,0.742268041237113
"150","000000349777.jpg","animal","cat",480,640,"coco","cat",1,84,4,93,0.903225806451613,0.860215053763441
"151","000000352117.jpg","animal","cat",375,500,"coco","cat",1,93,1,95,0.978947368421053,0.968421052631579
"152","000000353149.jpg","animal","cat",480,640,"coco","cat",1,73,6,91,0.802197802197802,0.736263736263736
"153","000000359710.jpg","animal","cat",333,500,"coco","cat",1,87,8,107,0.813084112149533,0.738317757009346
"154","000000367468.jpg","animal","cat",480,640,"coco","cat",1,74,5,87,0.850574712643678,0.793103448275862
"155","000000369132.jpg","animal","cat",335,500,"coco","cat",1,79,0,99,0.797979797979798,0.797979797979798
"156","000000379620.jpg","animal","cat",480,640,"coco","cat",1,102,2,113,0.902654867256637,0.884955752212389
"157","000000381605.jpg","animal","cat",375,500,"coco","cat",1,63,2,80,0.7875,0.7625
"158","000000382710.jpg","animal","cat",427,640,"coco","cat",1,67,4,91,0.736263736263736,0.692307692307692
"159","000000386291.jpg","animal","cat",480,640,"coco","cat",1,75,3,82,0.914634146341463,0.878048780487805
"160","000000386414.jpg","animal","cat",480,640,"coco","cat",1,82,1,99,0.828282828282828,0.818181818181818
"161","000000389541.jpg","animal","cat",480,640,"coco","cat",1,86,0,94,0.914893617021277,0.914893617021277
"162","000000393046.jpg","animal","cat",480,640,"coco","cat",1,94,3,100,0.94,0.91
"163","000000395555.jpg","animal","cat",375,500,"coco","cat",1,80,1,90,0.888888888888889,0.877777777777778
"164","000000395987.jpg","animal","cat",375,500,"coco","cat",1,105,1,114,0.921052631578947,0.912280701754386
"165","000000404172.jpg","animal","cat",480,640,"coco","cat",1,84,1,91,0.923076923076923,0.912087912087912
"166","000000411065.jpg","animal","cat",375,500,"coco","cat",1,83,3,104,0.798076923076923,0.769230769230769
"167","000000414487.jpg","animal","cat",500,494,"coco","cat",1,93,4,102,0.911764705882353,0.872549019607843
"168","000000416006.jpg","animal","cat",500,440,"coco","cat",1,86,2,100,0.86,0.84
"169","000000419008.jpg","animal","cat",500,375,"coco","cat",1,92,4,99,0.929292929292929,0.888888888888889
"170","000000428266.jpg","animal","cat",427,640,"coco","cat",1,89,0,96,0.927083333333333,0.927083333333333
"171","000000433123.jpg","animal","cat",375,500,"coco","cat",1,102,4,113,0.902654867256637,0.867256637168142
"172","000000437126.jpg","animal","cat",378,500,"coco","cat",1,83,6,94,0.882978723404255,0.819148936170213
"173","000000439085.jpg","animal","cat",428,640,"coco","cat",1,87,0,97,0.896907216494845,0.896907216494845
"174","000000440067.jpg","animal","cat",496,640,"coco","cat",1,82,0,94,0.872340425531915,0.872340425531915
"175","000000445267.jpg","animal","cat",480,640,"coco","cat",1,93,1,105,0.885714285714286,0.876190476190476
"176","000000452696.jpg","animal","cat",479,640,"coco","cat",1,85,0,92,0.923913043478261,0.923913043478261
"177","000000467172.jpg","animal","cat",480,640,"coco","cat",1,83,1,94,0.882978723404255,0.872340425531915
"178","000000474764.jpg","animal","cat",375,500,"coco","cat",1,93,7,104,0.894230769230769,0.826923076923077
"179","000000477673.jpg","animal","cat",426,640,"coco","cat",1,82,3,91,0.901098901098901,0.868131868131868
"180","000000485139.jpg","animal","cat",480,640,"coco","cat",1,78,4,90,0.866666666666667,0.822222222222222
"181","000000502275.jpg","animal","cat",427,640,"coco","cat",1,94,2,111,0.846846846846847,0.828828828828829
"182","000000503294.jpg","animal","cat",426,640,"coco","cat",1,88,0,113,0.778761061946903,0.778761061946903
"183","000000503938.jpg","animal","cat",334,500,"coco","cat",1,71,4,96,0.739583333333333,0.697916666666667
"184","000000511148.jpg","animal","cat",468,640,"coco","cat",1,95,1,110,0.863636363636364,0.854545454545454
"185","000000511239.jpg","animal","cat",298,480,"coco","cat",1,70,2,77,0.909090909090909,0.883116883116883
"186","000000518324.jpg","animal","cat",375,500,"coco","cat",1,97,6,110,0.881818181818182,0.827272727272727
"187","000000530489.jpg","animal","cat",333,500,"coco","cat",1,91,3,114,0.798245614035088,0.771929824561403
"188","000000531594.jpg","animal","cat",375,500,"coco","cat",1,60,0,84,0.714285714285714,0.714285714285714
"189","000000532491.jpg","animal","cat",427,640,"coco","cat",1,79,1,92,0.858695652173913,0.847826086956522
"190","000000535080.jpg","animal","cat",480,640,"coco","cat",1,98,6,103,0.951456310679612,0.893203883495146
"191","000000535679.jpg","animal","cat",332,500,"coco","cat",1,82,2,94,0.872340425531915,0.851063829787234
"192","000000537022.jpg","animal","cat",375,500,"coco","cat",1,75,2,78,0.961538461538462,0.935897435897436
"193","000000543264.jpg","animal","cat",480,640,"coco","cat",1,87,0,89,0.97752808988764,0.97752808988764
"194","000000559776.jpg","animal","cat",427,640,"coco","cat",1,95,2,105,0.904761904761905,0.885714285714286
"195","000000567754.jpg","animal","cat",480,640,"coco","cat",1,84,1,94,0.893617021276596,0.882978723404255
"196","000000571671.jpg","animal","cat",432,640,"coco","cat",1,107,4,113,0.946902654867257,0.911504424778761
"197","000000576072.jpg","animal","cat",480,640,"coco","cat",1,85,2,99,0.858585858585859,0.838383838383838
"198","000000580427.jpg","animal","cat",480,640,"coco","cat",1,70,1,77,0.909090909090909,0.896103896103896
"199","n02123045_13139.jpg","animal","cat",500,333,"imagenet","tabby, tabby cat",1,76,1,102,0.745098039215686,0.735294117647059
"200","n02123597_11551.jpg","animal","cat",375,500,"imagenet","Siamese cat, Siamese",1,88,0,103,0.854368932038835,0.854368932038835
"201","n01514668_10672.jpg","animal","chicken",375,500,"imagenet","cock",1,96,7,101,0.95049504950495,0.881188118811881
"202","n01514668_10820.jpg","animal","chicken",313,500,"imagenet","cock",1,72,1,92,0.782608695652174,0.771739130434783
"203","n01514668_11498.jpg","animal","chicken",500,375,"imagenet","cock",1,98,12,106,0.924528301886792,0.811320754716981
"204","n01514668_12187.jpg","animal","chicken",500,329,"imagenet","cock",1,74,0,99,0.747474747474748,0.747474747474748
"205","n01514668_13509.jpg","animal","chicken",387,500,"imagenet","cock",1,104,13,121,0.859504132231405,0.752066115702479
"206","n01514668_14530.jpg","animal","chicken",334,500,"imagenet","cock",1,93,1,106,0.877358490566038,0.867924528301887
"207","n01514668_14572.jpg","animal","chicken",500,333,"imagenet","cock",1,82,11,92,0.891304347826087,0.771739130434783
"208","n01514668_15917.jpg","animal","chicken",459,500,"imagenet","cock",1,76,12,93,0.817204301075269,0.688172043010753
"209","n01514668_17062.jpg","animal","chicken",333,500,"imagenet","cock",1,64,3,93,0.688172043010753,0.655913978494624
"210","n01514668_17461.jpg","animal","chicken",375,500,"imagenet","cock",1,83,12,92,0.902173913043478,0.771739130434783
"211","n01514668_18223.jpg","animal","chicken",500,375,"imagenet","cock",1,93,12,97,0.958762886597938,0.835051546391753
"212","n01514668_18613.jpg","animal","chicken",381,500,"imagenet","cock",1,92,13,105,0.876190476190476,0.752380952380952
"213","n01514668_18729.jpg","animal","chicken",443,500,"imagenet","cock",1,93,4,104,0.894230769230769,0.855769230769231
"214","n01514668_18848.jpg","animal","chicken",500,375,"imagenet","cock",1,89,14,102,0.872549019607843,0.735294117647059
"215","n01514668_20239.jpg","animal","chicken",500,463,"imagenet","cock",1,77,7,106,0.726415094339623,0.660377358490566
"216","n01514668_20315.jpg","animal","chicken",375,500,"imagenet","cock",1,67,7,87,0.770114942528736,0.689655172413793
"217","n01514668_20424.jpg","animal","chicken",333,500,"imagenet","cock",1,80,11,88,0.909090909090909,0.784090909090909
"218","n01514668_20610.jpg","animal","chicken",375,500,"imagenet","cock",1,91,14,109,0.834862385321101,0.706422018348624
"219","n01514668_20967.jpg","animal","chicken",333,500,"imagenet","cock",1,82,8,95,0.863157894736842,0.778947368421053
"220","n01514668_21350.jpg","animal","chicken",500,332,"imagenet","cock",1,80,9,91,0.879120879120879,0.78021978021978
"221","n01514668_22000.jpg","animal","chicken",334,500,"imagenet","cock",1,85,5,106,0.80188679245283,0.754716981132076
"222","n01514668_23654.jpg","animal","chicken",500,390,"imagenet","cock",1,95,7,111,0.855855855855856,0.792792792792793
"223","n01514668_3493.jpg","animal","chicken",333,500,"imagenet","cock",1,76,8,86,0.883720930232558,0.790697674418605
"224","n01514668_3668.jpg","animal","chicken",500,375,"imagenet","cock",1,100,10,117,0.854700854700855,0.769230769230769
"225","n01514668_4216.jpg","animal","chicken",334,500,"imagenet","cock",1,88,11,98,0.897959183673469,0.785714285714286
"226","n01514668_4832.jpg","animal","chicken",500,333,"imagenet","cock",1,82,17,101,0.811881188118812,0.643564356435644
"227","n01514668_690.jpg","animal","chicken",375,500,"imagenet","cock",1,97,5,108,0.898148148148148,0.851851851851852
"228","n01514668_7269.jpg","animal","chicken",500,375,"imagenet","cock",1,81,16,93,0.870967741935484,0.698924731182796
"229","n01514668_7597.jpg","animal","chicken",333,500,"imagenet","cock",1,91,5,104,0.875,0.826923076923077
"230","n01514668_8514.jpg","animal","chicken",344,500,"imagenet","cock",1,105,11,120,0.875,0.783333333333333
"231","n01514668_9003.jpg","animal","chicken",500,326,"imagenet","cock",1,106,24,123,0.861788617886179,0.666666666666667
"232","n01514668_9306.jpg","animal","chicken",333,500,"imagenet","cock",1,98,7,115,0.852173913043478,0.791304347826087
"233","n01514859_10423.jpg","animal","chicken",333,500,"imagenet","hen",1,55,5,93,0.591397849462366,0.537634408602151
"234","n01514859_10488.jpg","animal","chicken",500,434,"imagenet","hen",1,76,5,89,0.853932584269663,0.797752808988764
"235","n01514859_10948.jpg","animal","chicken",375,500,"imagenet","hen",1,91,4,113,0.805309734513274,0.769911504424779
"236","n01514859_11835.jpg","animal","chicken",375,500,"imagenet","hen",1,75,6,91,0.824175824175824,0.758241758241758
"237","n01514859_12292.jpg","animal","chicken",333,500,"imagenet","hen",1,82,11,108,0.759259259259259,0.657407407407407
"238","n01514859_12538.jpg","animal","chicken",500,400,"imagenet","hen",1,73,5,79,0.924050632911392,0.860759493670886
"239","n01514859_129.jpg","animal","chicken",483,500,"imagenet","hen",1,80,4,109,0.73394495412844,0.697247706422018
"240","n01514859_1469.jpg","animal","chicken",375,500,"imagenet","hen",1,72,8,100,0.72,0.64
"241","n01514859_2765.jpg","animal","chicken",400,500,"imagenet","hen",1,69,2,94,0.734042553191489,0.712765957446808
"242","n01514859_3543.jpg","animal","chicken",357,500,"imagenet","hen",1,80,2,101,0.792079207920792,0.772277227722772
